threshold,area,perim,q2,arg2,q3,arg3,q4,arg4,q5,arg5,q6,arg6,q7,arg7,q8,arg8,lambda,velocity,pattern,timestep,vel_norm,isoperi_ratio,anisotro_ind,t_norm
15.0,60149.37825018912,2703.451927047593,0.001844351069445061,-2.409160308949239,0.01216230967858132,2.251847130382536,0.005319576306633518,3.140206180645661,0.008101091627336144,-0.7480550972927832,0.01475633065376532,-3.070630610282116,0.00867879530250331,1.368370850080931,0.007317389322700959,-0.06640558977396459,2.0,69.0,1.0,885.0,10.0,279.59046423311696,0.9981590442991706,24.939648388741137
25.0,56525.05784580518,2617.012744067898,0.004334614414828861,-1.462499768577975,0.01023813381416532,2.239401479543761,0.004604617578476832,-2.981232370705834,0.008625646422977359,-0.8866354003286658,0.01396097146661643,-2.930580068384146,0.003956836522246242,1.535209289336764,0.005919937770911378,-0.279837555529929,2.0,69.0,1.0,885.0,10.0,271.4219972747865,0.9956840933762355,24.939648388741137
15.0,60171.68028061247,2704.366850192219,0.0160655094040723,1.635263294504986,0.0109779243657949,1.449231006742208,0.005942141414159221,-3.090824106862496,0.005686361309925665,-2.053409096485341,0.01537626117187255,-2.677832814372628,0.005994931854731806,1.63004238463493,0.01489314843495369,-0.3199317724771324,2.0,69.0,1.0,886.0,10.0,279.59950582930696,0.9841885102334643,24.967828782400733
25.0,56564.01367724895,2618.169319287077,0.01450904283129468,1.561810401251082,0.01109253498736279,1.593296272271383,0.006175222395499678,2.979701976808546,0.004692447761902342,-1.668848991283228,0.01573746381487712,-2.840182415059108,0.005564663934502909,1.740395394559918,0.01172112077200485,-0.2178739374404506,2.0,69.0,1.0,886.0,10.0,271.48907218022947,0.9856984588419214,24.967828782400733
15.0,60218.1761451249,2704.969591406825,0.004997161028254143,-1.868945098007835,0.01299478376454758,0.8122333258595952,0.006279037164501313,2.973084514952838,0.00672682781213835,-1.928102386550811,0.0155856423576435,2.941789238025732,0.008898042879980375,1.380419029540508,0.006138931375770763,-0.05190290519933465,2.0,69.0,1.0,887.0,10.0,279.75320741658993,0.9950276864233712,24.996009176060326
25.0,56587.28850718092,2618.471825182887,0.001457023171430217,-1.617795138927347,0.01174461454683594,0.7530871150120553,0.00660783053800982,2.993665078920424,0.006718574256016348,-1.881100402663602,0.01455317484650289,2.89340503503229,0.007915135140571192,1.42927745732186,0.01077655222294873,0.2703106445496665,2.0,69.0,1.0,887.0,10.0,271.56940647747325,0.9985450966564535,24.996009176060326
15.0,60138.09502791553,2703.378554071269,0.01351877523897924,-1.640689318870643,0.01068935922368318,1.88587157160374,0.004659169227163376,-3.125475706648308,0.008760638441967773,-0.8484433828843736,0.01357701602235799,3.085889054112386,0.005799554369604081,1.347853661552412,0.009899907196095804,-0.08848218922066774,2.0,69.0,1.0,888.0,10.0,279.54560378687324,0.986661544345055,25.02418956971992
25.0,56532.25644463371,2617.473858162365,0.01346005786791874,-1.525808551606107,0.01175658289754789,1.73362358121058,0.005047104748656806,-2.967606190988795,0.007059243558193664,-0.768190350193573,0.01489082762326312,2.91562244791119,0.006125018727952495,1.549393691181834,0.008349191500549023,0.14925197986261,2.0,69.0,1.0,888.0,10.0,271.4087416513921,0.9867187090764726,25.02418956971992
15.0,60182.8149592011,2704.269421816358,0.0108333157921137,1.697479875728042,0.01231133552212324,2.093428554994163,0.00737421477574447,-3.071011808582818,0.006132662990259708,-1.006857780424476,0.01535231481114831,-2.765879156053042,0.009428976514854847,1.359154699543903,0.007998208727608723,-0.02476713478561892,2.0,69.0,1.0,889.0,10.0,279.6613204629424,0.9892827871590041,25.052369963379515
25.0,56572.86552248683,2618.336995189467,0.007281877903009014,1.640846200916115,0.01114813870235942,2.170875695963876,0.007145921248216708,-2.973051189206778,0.005217596273810213,-1.143262811131162,0.01682382577871761,-2.927262181218659,0.005187598216258368,0.9431994747498873,0.007427913246157792,0.1734035521667843,2.0,69.0,1.0,889.0,10.0,271.5141695580055,0.9927707645071818,25.052369963379515
15.0,60179.90965368,2704.685787897557,0.009442309840502925,1.68835090589687,0.01279833831469796,0.9021782501238887,0.004097500031830806,-3.078006995790234,0.007349089232222199,-2.238596604817141,0.01464809659997364,-2.995602466329244,0.007342047796243159,1.62478573938371,0.01123844511299365,0.1126197220542542,2.0,69.0,1.0,890.0,10.0,279.60477022162615,0.9906460133992255,25.080550357039108
25.0,56543.30900132298,2617.835077527196,0.01076745153466245,1.505597244277593,0.01175464531444482,1.021706597792687,0.004252266092848939,3.033075649040372,0.004299272615647169,-2.425321861833456,0.01411953115691333,-2.801934758798822,0.01017977289963187,1.480733782409818,0.007339687310437727,-0.1283136370027363,2.0,69.0,1.0,890.0,10.0,271.42434707691166,0.9893472514193902,25.080550357039108
15.0,60202.86797524572,2704.837789695054,0.01430799716134236,-1.653761699080792,0.01178730842371547,1.069663910629759,0.005085602739982869,-2.953825656691314,0.00974708891583343,-1.120454683262278,0.01186527087627006,2.774059195129493,0.007222026294808384,1.344156669856827,0.01165135177113991,0.1081689597687643,2.0,69.0,1.0,891.0,10.0,279.69571924295127,0.9858938338242575,25.108730750698705
25.0,56597.86746409707,2619.140584108795,0.01123174604796345,-1.606505036042042,0.01257971715232198,1.05806028847347,0.0062835461149191,2.98870652802308,0.007120138179309416,-1.16960388905702,0.01098586011791483,2.720574301962,0.008093046341004913,1.75043733927072,0.01380393542071205,0.06344567462195373,2.0,69.0,1.0,891.0,10.0,271.5508219953882,0.9888930049003518,25.108730750698705
15.0,60147.92836545751,2703.487178438572,0.003188642837199084,-1.948957665369858,0.01260511266088887,2.320785630792485,0.005322144402263581,-2.999201061503677,0.007269802195652436,-0.8847947588128572,0.01476263995706341,-3.108185468631501,0.009385147185513976,1.166741288580928,0.006097204046596866,0.1920700108122279,2.0,69.0,1.0,892.0,10.0,279.5800792230167,0.9968214922886477,25.136911144358297
25.0,56517.99935374153,2616.775094599305,0.005707510804946354,-1.471044085548592,0.01097016602032714,2.208335085021954,0.004426442011843111,-3.078628741651999,0.00838600720630263,-0.857372309090367,0.01283073287691665,-3.015733898257144,0.006937096889625387,1.624023527895368,0.009890505707525445,0.3780397340925704,2.0,69.0,1.0,892.0,10.0,271.4127506513822,0.9943248800037516,25.136911144358297
15.0,60171.07608920868,2704.320388247659,0.01605485812737129,1.640313330170731,0.01091282339951159,1.508315065057989,0.006653544991253064,3.128208737683331,0.006408078561138638,-1.620782220456345,0.01681939939537415,-2.922263259353628,0.00793031502977545,1.646603467500258,0.007574139825352991,-0.3712527684479667,2.0,69.0,1.0,893.0,10.0,279.60150198466647,0.9841988274560677,25.165091538017894
25.0,56566.55513888913,2618.011259167551,0.0142078124752515,1.55050396454691,0.01161038602352423,1.71083353337844,0.005823272265700508,2.995885731264374,0.005708869229959521,-1.672758547379663,0.01340267040933319,-2.851909273120384,0.003835998265707429,1.724902014063439,0.00922188756941511,0.06211205281593692,2.0,69.0,1.0,893.0,10.0,271.51766202827133,0.9859912216209652,25.165091538017894
15.0,60210.07506235854,2705.034360927933,0.003412786611540615,-2.04291242940614,0.01297379676372275,0.7703090200947297,0.005947039561758534,-3.115185256358804,0.00659866824960348,-1.924565823227211,0.01375538998785008,2.91737576979349,0.009944045655216772,1.821958449125982,0.0088360593289345,-0.2108954185838725,2.0,69.0,1.0,894.0,10.0,279.7088750075734,0.9965988208869997,25.193271931677486
25.0,56580.06368953163,2618.25451602154,0.0001389885723740668,0.93998158420628,0.01163272782346267,0.747585085394961,0.005638093035227628,3.000955473794153,0.007382031052884474,-2.042511458957534,0.01389937870426389,2.899626500692265,0.006040872027318874,1.673315447144233,0.01056446285504697,-0.03908321332777927,2.0,69.0,1.0,894.0,10.0,271.55727044713757,0.9998610307427646,25.193271931677486
15.0,60144.63992724888,2703.75267576219,0.0144984590496663,-1.637556467607849,0.01102699359216177,1.852674269261918,0.00555997384568007,-3.04510583844948,0.008140066019321919,-0.8242692125594451,0.01442978790407136,3.110381262290783,0.01043257260046857,1.54631753495577,0.01057907593751198,0.1503182293465172,2.0,69.0,1.0,895.0,10.0,279.5373417725544,0.9857087421667966,25.221452325337083
